,item_name,price,menu_section,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Includes (g),Protein (g),Vitamin D (mcg),Calcium (mg),Iron (mg),Potassium (mg)
0,Soft Taco,1.89,Tacos,180.0,8.0,4.0,0.0,25.0,500.0,18.0,3.0,1.0,1.0,9.0,0.0,110.0,1.7,130.0
1,Soft Taco Supreme®,2.89,Tacos,210.0,10.0,5.0,0.0,25.0,510.0,20.0,3.0,2.0,1.0,10.0,0.0,130.0,1.7,200.0
2,Spicy Potato Soft Taco,1.1,Tacos,240.0,12.0,3.0,0.0,10.0,480.0,28.0,2.0,1.0,1.0,5.0,0.0,110.0,1.3,270.0
3,Crunchy Taco,1.89,Tacos,170.0,10.0,3.5,0.0,25.0,300.0,13.0,3.0,1.0,0.0,8.0,0.0,70.0,0.9,140.0
4,Crunchy Taco Supreme®,2.89,Tacos,190.0,11.0,4.5,0.0,25.0,320.0,15.0,3.0,2.0,0.0,8.0,0.0,80.0,0.9,200.0
5,Nacho Cheese Doritos® Locos Tacos,2.69,Tacos,170.0,10.0,4.0,0.0,25.0,360.0,12.0,3.0,1.0,0.0,8.0,0.0,80.0,0.9,150.0
6,Nacho Cheese Doritos® Locos Tacos Supreme®,3.69,Tacos,190.0,11.0,5.0,0.0,30.0,380.0,14.0,3.0,2.0,0.0,8.0,0.0,90.0,0.9,210.0
7,Chalupa Supreme®,4.69,Tacos,360.0,20.0,6.0,0.0,25.0,570.0,31.0,4.0,4.0,1.0,12.0,0.0,120.0,2.3,230.0
8,Black Bean Chalupa Supreme®,4.19,Tacos,340.0,18.0,4.0,0.0,10.0,460.0,36.0,6.0,4.0,1.0,10.0,0.0,140.0,2.5,300.0
9,Cheesy Gordita Crunch,4.79,Tacos,490.0,28.0,10.0,0.0,50.0,840.0,41.0,5.0,5.0,1.0,20.0,0.0,310.0,2.6,250.0
10,Doritos® Cheesy Gordita Crunch - Nacho Cheese,4.99,Tacos,500.0,28.0,11.0,0.0,50.0,900.0,41.0,5.0,5.0,1.0,20.0,0.0,320.0,2.6,250.0
11,Grilled Cheese Burrito,4.69,Burritos,720.0,40.0,16.0,0.5,75.0,1500.0,64.0,6.0,5.0,2.0,26.0,0.0,540.0,3.6,420.0
12,Steak Grilled Cheese Burrito,5.69,Burritos,700.0,38.0,15.0,0.0,80.0,1520.0,62.0,4.0,5.0,2.0,28.0,0.0,550.0,3.5,440.0
13,Chicken Grilled Cheese Burrito,5.29,Burritos,690.0,37.0,15.0,0.0,85.0,1510.0,62.0,4.0,4.0,2.0,29.0,0.0,530.0,3.0,480.0
14,Black Bean Grilled Cheese Burrito,4.49,Burritos,700.0,37.0,15.0,0.0,55.0,1390.0,69.0,8.0,5.0,2.0,23.0,0.0,550.0,3.7,490.0
15,Bean Burrito,1.99,Burritos,350.0,9.0,4.0,0.0,5.0,1040.0,55.0,10.0,3.0,2.0,13.0,0.0,210.0,4.0,400.0
16,Beefy 5-Layer Burrito,3.99,Burritos,490.0,18.0,7.0,0.0,30.0,1260.0,65.0,8.0,5.0,2.0,18.0,0.0,270.0,4.8,460.0
17,Burrito Supreme®,4.99,Burritos,390.0,14.0,6.0,0.0,25.0,1140.0,51.0,8.0,4.0,2.0,16.0,0.0,220.0,4.0,420.0
18,Chipotle Ranch Grilled Chicken Burrito,2.0,Burritos,510.0,29.0,7.0,0.0,45.0,950.0,47.0,4.0,3.0,2.0,17.0,0.0,200.0,2.9,350.0
19,Beefy Melt Burrito,2.0,Burritos,620.0,29.0,11.0,0.0,45.0,1190.0,70.0,6.0,4.0,2.0,20.0,0.0,360.0,3.6,410.0
20,Cheesy Bean and Rice Burrito,1.0,Burritos,420.0,16.0,4.0,0.0,5.0,920.0,55.0,7.0,3.0,2.0,9.0,0.0,160.0,3.4,360.0
21,Fiesta Veggie Burrito,2.0,Burritos,570.0,28.0,8.0,0.0,25.0,1020.0,65.0,9.0,4.0,2.0,14.0,0.0,270.0,3.8,470.0
22,Chili Cheese Burrito,2.99,Burritos,380.0,17.0,9.0,0.0,35.0,980.0,41.0,4.0,2.0,1.0,16.0,0.0,330.0,3.3,270.0
23,Grilled Cheese Nacho Fries - Beef,3.99,Specialties,530.0,35.0,9.0,0.0,50.0,1250.0,38.0,6.0,1.0,0.0,16.0,0.0,210.0,1.5,720.0
24,"Grilled Cheese Nacho Fries - Beef, Spicy",3.99,Specialties,540.0,35.0,9.0,0.0,50.0,1410.0,39.0,6.0,1.0,0.0,16.0,0.0,220.0,1.5,730.0
25,Grilled Cheese Nacho Fries - Steak,4.99,Specialties,520.0,33.0,8.0,0.0,50.0,1270.0,37.0,4.0,2.0,1.0,19.0,0.0,220.0,1.4,740.0
26,"Grilled Cheese Nacho Fries - Steak, Spicy",4.99,Specialties,520.0,33.0,8.0,0.0,50.0,1430.0,37.0,5.0,2.0,1.0,19.0,0.0,230.0,1.4,750.0
27,Mexican Pizza,5.39,Specialties,530.0,29.0,9.0,0.0,40.0,980.0,49.0,8.0,4.0,1.0,19.0,0.0,320.0,3.3,440.0
28,Veggie Mexican Pizza,5.19,Specialties,470.0,25.0,7.0,0.0,20.0,730.0,46.0,7.0,3.0,1.0,14.0,0.0,310.0,2.6,360.0
29,Crunchwrap Supreme®,5.39,Specialties,540.0,21.0,7.0,0.0,20.0,1210.0,73.0,6.0,6.0,2.0,16.0,0.0,250.0,4.6,530.0
30,Black Bean Crunchwrap Supreme®,5.39,Specialties,520.0,18.0,5.0,0.0,5.0,1100.0,77.0,8.0,6.0,2.0,13.0,0.0,260.0,4.8,610.0
31,Cheesy Roll Up,1.0,Specialties,180.0,9.0,6.0,0.0,20.0,430.0,17.0,1.0,1.0,1.0,8.0,0.0,230.0,1.0,60.0
32,Chicken Chipotle Melt,2.39,Specialties,190.0,9.0,3.0,0.0,35.0,530.0,16.0,1.0,1.0,1.0,12.0,0.0,100.0,1.1,170.0
33,Cheesy Fiesta Potatoes,2.59,Sides & Sweets,240.0,13.0,2.0,0.0,5.0,520.0,28.0,3.0,1.0,0.0,3.0,0.0,40.0,0.3,560.0
34,Chips and Nacho Cheese Sauce,2.59,Sides & Sweets,220.0,13.0,1.5,0.0,0.0,280.0,24.0,2.0,1.0,0.0,3.0,0.0,60.0,0.2,290.0
35,Black Beans,1.49,Sides & Sweets,50.0,1.5,0.0,0.0,0.0,140.0,7.0,4.0,0.0,0.0,3.0,0.0,20.0,0.8,150.0
36,Black Beans and Rice,1.49,Sides & Sweets,160.0,4.5,0.0,0.0,0.0,370.0,25.0,5.0,1.0,0.0,4.0,0.0,20.0,1.3,190.0
37,Pintos N Cheese,2.39,Sides & Sweets,170.0,6.0,3.0,0.0,10.0,640.0,20.0,9.0,1.0,1.0,9.0,0.0,130.0,1.7,340.0
38,Cinnamon Twists,1.0,Sides & Sweets,170.0,6.0,0.5,0.0,0.0,115.0,27.0,1.0,10.0,10.0,1.0,0.0,10.0,0.0,20.0
39,Cinnabon Delights® 2 Pack,2.19,Sides & Sweets,170.0,11.0,3.5,0.0,5.0,70.0,15.0,1.0,9.0,9.0,2.0,0.0,10.0,0.0,30.0
40,Cinnabon Delights® 12 Pack,6.89,Sides & Sweets,1010.0,68.0,22.0,0.0,40.0,430.0,88.0,5.0,52.0,52.0,11.0,0.0,60.0,0.0,160.0
41,Mild Sauce Packet,0.0,Sides & Sweets,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
42,Hot Sauce Packet,0.0,Sides & Sweets,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
43,Fire Sauce Packet,0.0,Sides & Sweets,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
44,Diablo Sauce Packet,0.0,Sides & Sweets,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
45,Nacho Cheese Sauce,0.0,Sides & Sweets,60.0,4.0,0.0,0.0,0.0,210.0,4.0,0.0,1.0,0.0,1.0,0.0,20.0,0.0,210.0
46,Reduced-Fat Sour Cream,0.7,Sides & Sweets,45.0,3.0,2.0,0.0,10.0,30.0,3.0,0.0,1.0,0.0,1.0,0.0,30.0,0.0,60.0
47,Guacamole,0.8,Sides & Sweets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Chipotle Sauce,0.5,Sides & Sweets,220.0,24.0,4.0,0.0,25.0,210.0,1.0,0.0,0.0,0.0,1.0,0.0,10.0,0.3,30.0
49,Avocado Ranch Sauce,0.45,Sides & Sweets,240.0,25.0,4.0,0.0,20.0,270.0,2.0,0.0,1.0,1.0,1.0,0.0,10.0,0.1,60.0
50,Spicy Ranch,0.6,Sides & Sweets,210.0,23.0,3.5,0.0,20.0,190.0,2.0,0.0,1.0,1.0,1.0,0.0,20.0,0.0,50.0
51,Red Sauce,0.31,Sides & Sweets,15.0,0.0,0.0,0.0,0.0,350.0,3.0,1.0,0.0,0.0,1.0,0.0,10.0,0.3,60.0
52,Chicken Quesadilla,5.59,Quesadillas,520.0,26.0,13.0,0.0,75.0,1260.0,41.0,3.0,3.0,2.0,26.0,0.0,500.0,2.6,290.0
53,Double Berry Freeze,3.69,Drinks,170.0,0.0,0.0,0.0,0.0,45.0,45.0,0.0,45.0,44.0,0.0,0.0,0.0,0.0,0.0
54,Wild Strawberry Freeze,3.69,Drinks,190.0,0.0,0.0,0.0,0.0,55.0,51.0,0.0,51.0,51.0,0.0,0.0,0.0,0.0,0.0
55,Blue Raspberry Freeze,3.69,Drinks,150.0,0.0,0.0,0.0,0.0,40.0,38.0,0.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0
56,MTN DEW® Baja Blast® Freeze,3.69,Drinks,190.0,0.0,0.0,0.0,0.0,55.0,51.0,0.0,51.0,51.0,0.0,0.0,0.0,0.0,0.0
57,Pepsi®,2.59,Drinks,380.0,0.0,0.0,0.0,0.0,80.0,103.0,0.0,103.0,103.0,0.0,0.0,0.0,0.0,0.0
58,Diet Pepsi®,2.59,Drinks,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Pepsi® Zero Sugar,2.59,Drinks,0.0,0.0,0.0,0.0,0.0,160.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Cherry Pepsi®,2.59,Drinks,390.0,0.0,0.0,0.0,0.0,80.0,106.0,0.0,105.0,105.0,0.0,0.0,0.0,0.0,0.0
61,MTN DEW®,2.59,Drinks,420.0,0.0,0.0,0.0,0.0,130.0,110.0,0.0,110.0,110.0,0.0,0.0,0.0,0.0,0.0
62,MTN DEW® Zero,2.59,Drinks,5.0,0.0,0.0,0.0,0.0,115.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,MTN DEW® Baja Blast®,2.59,Drinks,420.0,0.0,0.0,0.0,0.0,120.0,111.0,0.0,111.0,111.0,0.0,0.0,0.0,0.0,0.0
64,MTN DEW® Baja Blast™ Zero Sugar,2.59,Drinks,15.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Mug® Root Beer,2.59,Drinks,360.0,0.0,0.0,0.0,0.0,140.0,96.0,0.0,95.0,95.0,0.0,0.0,0.0,0.0,0.0
66,Starry®,2.59,Drinks,370.0,0.0,0.0,0.0,0.0,85.0,97.0,0.0,97.0,97.0,0.0,0.0,0.0,0.0,0.0
67,G2 Gatorade® Fruit Punch,2.59,Drinks,80.0,0.0,0.0,0.0,0.0,410.0,19.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0
68,Brisk® Mango Fiesta,2.59,Drinks,170.0,0.0,0.0,0.0,0.0,95.0,45.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0
69,Lipton® Unsweetened Iced Tea,2.59,Drinks,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,Nachos BellGrande®,6.19,Nachos,730.0,38.0,6.0,0.0,25.0,1130.0,81.0,15.0,4.0,1.0,17.0,0.0,200.0,2.7,970.0
71,Chips and Nacho Cheese Sauce,2.59,Nachos,220.0,13.0,1.5,0.0,0.0,280.0,24.0,2.0,1.0,0.0,3.0,0.0,60.0,0.2,290.0
72,Bean Burrito,1.99,Veggie Cravings,350.0,9.0,4.0,0.0,5.0,1040.0,55.0,10.0,3.0,2.0,13.0,0.0,210.0,4.0,400.0
73,Cheesy Bean and Rice Burrito,1.0,Veggie Cravings,420.0,16.0,4.0,0.0,5.0,920.0,55.0,7.0,3.0,2.0,9.0,0.0,160.0,3.4,360.0
74,Fiesta Veggie Burrito,2.0,Veggie Cravings,570.0,28.0,8.0,0.0,25.0,1020.0,65.0,9.0,4.0,2.0,14.0,0.0,270.0,3.8,470.0
75,Spicy Potato Soft Taco,1.1,Veggie Cravings,240.0,12.0,3.0,0.0,10.0,480.0,28.0,2.0,1.0,1.0,5.0,0.0,110.0,1.3,270.0
76,Black Bean Chalupa Supreme®,4.19,Veggie Cravings,340.0,18.0,4.0,0.0,10.0,460.0,36.0,6.0,4.0,1.0,10.0,0.0,140.0,2.5,300.0
77,Black Bean Crunchwrap Supreme®,5.39,Veggie Cravings,520.0,18.0,5.0,0.0,5.0,1100.0,77.0,8.0,6.0,2.0,13.0,0.0,260.0,4.8,610.0
78,Veggie Mexican Pizza,5.19,Veggie Cravings,470.0,25.0,7.0,0.0,20.0,730.0,46.0,7.0,3.0,1.0,14.0,0.0,310.0,2.6,360.0
79,Power Menu Bowl - Veggie,6.79,Veggie Cravings,420.0,20.0,5.0,0.0,20.0,870.0,47.0,11.0,3.0,0.0,12.0,0.0,170.0,2.7,590.0
80,Cheesy Roll Up,1.0,Veggie Cravings,180.0,9.0,6.0,0.0,20.0,430.0,17.0,1.0,1.0,1.0,8.0,0.0,230.0,1.0,60.0
81,Cheesy Fiesta Potatoes,2.59,Veggie Cravings,240.0,13.0,2.0,0.0,5.0,520.0,28.0,3.0,1.0,0.0,3.0,0.0,40.0,0.3,560.0
82,Chips and Nacho Cheese Sauce,2.59,Veggie Cravings,220.0,13.0,1.5,0.0,0.0,280.0,24.0,2.0,1.0,0.0,3.0,0.0,60.0,0.2,290.0
83,Black Beans,1.49,Veggie Cravings,50.0,1.5,0.0,0.0,0.0,140.0,7.0,4.0,0.0,0.0,3.0,0.0,20.0,0.8,150.0
84,Black Beans and Rice,1.49,Veggie Cravings,160.0,4.5,0.0,0.0,0.0,370.0,25.0,5.0,1.0,0.0,4.0,0.0,20.0,1.3,190.0
85,Pintos N Cheese,2.39,Veggie Cravings,170.0,6.0,3.0,0.0,10.0,640.0,20.0,9.0,1.0,1.0,9.0,0.0,130.0,1.7,340.0
86,Cinnamon Twists,1.0,Veggie Cravings,170.0,6.0,0.5,0.0,0.0,115.0,27.0,1.0,10.0,10.0,1.0,0.0,10.0,0.0,20.0
87,Cinnabon Delights® 2 Pack,2.19,Veggie Cravings,170.0,11.0,3.5,0.0,5.0,70.0,15.0,1.0,9.0,9.0,2.0,0.0,10.0,0.0,30.0
88,Cinnabon Delights® 12 Pack,6.89,Veggie Cravings,1010.0,68.0,22.0,0.0,40.0,430.0,88.0,5.0,52.0,52.0,11.0,0.0,60.0,0.0,160.0
89,Power Menu Bowl,6.99,Bowls,460.0,21.0,6.0,0.0,70.0,1250.0,41.0,8.0,3.0,0.0,26.0,0.0,160.0,2.0,700.0
90,Power Menu Bowl - Veggie,6.79,Bowls,420.0,20.0,5.0,0.0,20.0,870.0,47.0,11.0,3.0,0.0,12.0,0.0,170.0,2.7,590.0
91,Cheesy Toasted Breakfast Burrito Bacon,1.69,Breakfast,350.0,16.0,5.0,0.0,105.0,880.0,38.0,2.0,3.0,2.0,13.0,0.0,150.0,3.0,270.0
92,Cheesy Toasted Breakfast Burrito Sausage,1.69,Breakfast,350.0,17.0,6.0,0.0,105.0,770.0,38.0,2.0,3.0,2.0,10.0,0.0,150.0,2.9,240.0
93,Cheesy Toasted Breakfast Burrito Potato,1.69,Breakfast,340.0,14.0,3.5,0.0,95.0,770.0,44.0,3.0,3.0,1.0,9.0,0.0,150.0,3.0,350.0
94,Grande Toasted Breakfast Burrito Steak,4.39,Breakfast,570.0,28.0,10.0,0.0,230.0,1370.0,52.0,4.0,4.0,2.0,27.0,0.0,360.0,4.1,520.0
95,Grande Toasted Breakfast Burrito Sausage,3.79,Breakfast,570.0,31.0,12.0,0.0,220.0,1190.0,51.0,4.0,3.0,2.0,21.0,0.0,340.0,3.6,450.0
96,Grande Toasted Breakfast Burrito Bacon,3.79,Breakfast,570.0,30.0,11.0,0.0,220.0,1310.0,52.0,4.0,3.0,2.0,23.0,0.0,340.0,3.7,470.0
97,Breakfast Quesadilla Sausage,3.69,Breakfast,510.0,29.0,15.0,0.0,150.0,1130.0,40.0,3.0,3.0,2.0,23.0,0.0,510.0,2.9,200.0
98,Breakfast Quesadilla Bacon,3.69,Breakfast,510.0,27.0,14.0,0.0,150.0,1250.0,41.0,3.0,3.0,2.0,25.0,0.0,510.0,3.0,230.0
99,Breakfast Quesadilla Steak,3.99,Breakfast,510.0,25.0,14.0,0.0,160.0,1310.0,41.0,3.0,4.0,2.0,28.0,0.0,520.0,3.5,270.0
100,Breakfast California Crunchwrap,3.99,Breakfast,630.0,37.0,12.0,0.0,130.0,1340.0,53.0,5.0,3.0,2.0,21.0,0.0,350.0,3.1,500.0
101,Breakfast Crunchwrap Bacon,3.79,Breakfast,670.0,40.0,13.0,0.0,135.0,1300.0,52.0,4.0,3.0,2.0,21.0,0.0,350.0,3.0,390.0
102,Breakfast Crunchwrap Sausage,3.79,Breakfast,750.0,49.0,16.0,0.0,145.0,1220.0,53.0,4.0,3.0,2.0,21.0,0.0,360.0,3.3,400.0
103,Hash Brown,1.69,Breakfast,160.0,11.0,1.0,0.0,0.0,280.0,14.0,1.0,0.0,0.0,1.0,0.0,10.0,0.0,190.0
104,Cinnabon Delights® 2 Pack,2.19,Breakfast,170.0,11.0,3.5,0.0,5.0,70.0,15.0,1.0,9.0,9.0,2.0,0.0,10.0,0.0,30.0
105,Cinnabon Delights® 12 Pack,6.89,Breakfast,1010.0,68.0,22.0,0.0,40.0,430.0,88.0,5.0,52.0,52.0,11.0,0.0,60.0,0.0,160.0
106,Breakfast Salsa,0.0,Breakfast,0.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
